#SampleID	V7-arm-healthy-BA7	V7-arm-healthy-BB3	V7-arm-healthy-BB7	V7-arm-healthy-BB6	V7-arm-psoriasis-BB9	V7-arm-healthy-BA5	V7-arm-healthy-BA3	V7-arm-healthy-BA4	V7-arm-healthy-BB4	V7-arm-healthy-BA6	V7-arm-healthy-BA8	V7-arm-healthy-BB8	V7-arm-psoriasis-BB10	V7-arm-psoriasis-BA10	V7-arm-psoriasis-BA9	V7-arm-healthy-BB12
368.719__3.15_5125	252531220.9034221	466494547.4679436	54658138.10140468	29136431.57675913	78438454.40061711	133359425.6835214	135703687.85085428	97655193.37674074	84345905.47458076	148422416.319639	61900933.52589873	58637701.00036214	63493888.97608519	74273554.01471847	121979070.37273636	11.604626319026565
368.425_C25H53N_9.63_1442	107411872.1905278	148365469.47316945	58042289.36235573	64311712.72904296	37757142.04376545	81602223.92464212	74469295.9877567	1115812568.2117002	162963073.2813549	48287649.64146992	60777720.43956684	67526882.60169634	30406438.08165513	52905048.71085899	21085624.20202932	11670837.178217538
368.425_C25H53N_8.65_1949	93817305.10440491	123048931.954891	63362636.29968621	27129709.33134913	29731856.15795331	98594848.40853292	152034916.78389314	852302069.3242044	351729760.2156492	42411835.14269217	36663401.18310744	48657925.98063031	23461016.089330263	86817000.01411541	108256582.66984248	25251869.356778245
368.425_C25H53N_8.0_1466	742367781.3973572	366284581.89694136	26463889.68079907	158585397.07998714	24558923.91733323	150920344.3293086	48369039.10948227	4959499463.33513	740097972.9362848	54139706.53342664	62079353.49450485	14454459.943602268	31498995.41011585	180816753.32456413	27060069.01084357	4369126.294842117
368.316_C15H39N6O4_6.37_3546	636967932.4494852	40315805.50852185	29318627.245608635	18646504.572611656	23883769.88823754	86954818.67892636	52215526.58711502	364136889.1002147	183385506.22337896	45027887.37414008	172946403.05957925	141661534.55460915	39544203.74256458	217048454.41132084	88476007.00275837	5915176.328945988
367.368_C23H46N2O_6.16_3079	221578941.43345875	12669301.646609856	17049372.025882978	21361783.33704125	22516820.993052468	271789477.74419934	79930596.64251256	177306070.25145763	130312088.23295772	77195163.59660168	248976396.99615	96112524.14688624	15302478.475390347	91282641.3068654	73844053.83073491	5113296.187266932
367.281_C20H40O4_7.71_2321	89311322.64291918	41059519.38767558	45976138.64667199	78058222.37389131	25796236.14208553	72583365.37183405	36007229.52380374	229063430.92768198	198577902.79109383	89302129.76118907	155003310.75321084	133850656.21081474	55135472.40641427	76571198.15468991	42925477.82056118	17397861.31139852
367.245_C19H36O5_7.02_3141	103924888.1770282	1.2682855354070028	44577318.24453919	8318436.242769592	39710527.42780743	217589660.09834537	28149849.84717998	197175049.48790324	255311109.95526332	45741223.8803822	235295527.3399709	68484216.49100126	76020697.62834334	130237901.64413232	63923327.26741093	1.2682855354070028
366.211_C15H25N8O3_3.45_2164	15628048.217418374	46257598.37295848	146437905.4705123	43908585.15221883	71718247.12969829	155785807.17618883	68966598.57167582	37973428.01510628	32392917.710890684	43433663.29162241	305094109.0991116	52854449.09451699	1653207840.404641	155307296.55231038	38194928.74237198	4255473.167376282
365.277_C16H36N4O5_4.76_2410	169766939.15815252	36853554.75683248	30432628.431146946	45696536.65205561	39781758.35108865	110310328.05253372	84352832.91466674	89000555.08123447	61477356.73386484	149690519.44850892	142011526.38967818	41678548.22578432	45337586.437187396	172238386.28150266	94977290.0807723	201448.40681845465
365.266_C17H36N2O6_7.79_4021	97409828.13076767	47599736.89868757	126159545.01353829	76188353.85157587	80968632.90489043	65509508.55800103	35199371.31006529	41432575.12160891	390215817.2596819	92192950.14793187	85465689.6070495	169702111.89325908	73474481.27329242	80622516.89186272	68068873.11151823	21726837.273648787
365.157_C15H26N4O4_2.58_3597	59492477.31189834	225262678.0512485	408422546.36112887	292080718.1203936	283694642.18242604	29791253.03539284	141003135.48999956	31621082.957955897	160034451.43038797	54020439.36505608	42200213.4013924	416923855.34339935	300044996.6305072	16739364.644226242	41275070.83748933	0.8561529065410847
365.136_C21H18N4O_8.92_196	27645647.24098159	34581882.51042985	80498330.05955437	43279886.10033175	75948246.94330452	41502868.78826591	14068562.889130108	102991166.15391517	229596440.34733415	84000404.9084573	22178611.53767789	34348565.86352884	94161994.42473444	174571405.1751041	84362485.60453095	36421432.60428968
365.136_C18H16N6O3_9.36_310	138446504.8129842	40242202.05880494	84991213.12899508	58597729.75940419	96225682.49535523	131332316.32681291	45694224.75757698	334511885.21309894	92118874.01615705	164818581.59085828	72035393.26654755	64179673.62183682	49416412.4560019	79191507.17761697	55451242.58594045	22573649.48914068
364.342_C18H43N4O3_7.42_309	178772525.948637	27894181.033152387	42485980.56499508	56517991.712547705	21482072.51925577	148613970.65251482	47562669.7794595	136601214.82603756	111058747.273225	96278812.9057484	180620227.9045114	98575421.38571694	54672737.71530874	137562848.55325267	65792833.99287179	350441.9626169068
363.31_C20H42O5_6.73_214	183364320.97615975	45205741.12172564	36739204.16538014	50280318.7192926	30253371.16843327	127730938.70236383	70303432.37911622	109805679.78040476	76902407.36304478	112508357.69719958	164000215.55080122	77247523.55737847	41724069.28356824	140136786.8526247	87869797.94807361	50348.56206367781
363.311_C17H40BN2O5_6.14_2264	282990117.5297897	46653757.19592869	41336895.87720037	58762019.33920778	32671279.011561804	124157505.61841536	88083698.6686389	65771139.25907598	76175932.73150021	137409135.82341865	150283744.71743944	45982310.95259433	40234039.40420191	162460578.51644352	82176810.02872945	74689.92019528405
362.212_C24H27NO2_7.36_1185	62425974.93609023	60145778.59994695	17446660.57038732	42010711.71149153	30253452.96432174	148575385.35378736	37375879.018952936	161197317.14156583	154191670.50362962	57130445.48942061	144867913.02189207	42584496.96449057	13072561.711365212	113486717.98364133	77321372.78105935	1099141.570307731
362.212_C16H31N3O4S_1.13_4364	140257515.92543674	52480210.54339849	53643970.72457121	18159840.26505674	34798177.492237195	85243794.68970624	88458346.43418922	24984530.9451174	48478263.10747407	268670425.16706425	135035893.63926694	27314535.978481546	51722121.71890335	141147116.2047292	49270639.62633515	5814356.062947258
361.331_C21H44O4_7.74_724	140816946.54080456	48582984.80738518	25155621.824756965	38669144.80403995	4569423.560618397	209547015.6676041	68579705.62215279	244999170.19894195	174246862.30388638	98947960.57633016	254379700.62013343	89098693.93301556	44056323.23136961	105553412.38057466	51296192.4289168	510414.5240845331
