index	V9-arm-healthy-BG3	V9-arm-healthy-BG5	V9-arm-psoriasis-BG9	V9-arm-healthy-BG6	V9-arm-healthy-BG4	V9-arm-healthy-BG8	V9-arm-psoriasis-BG10	V9-arm-healthy-BG7	V9-arm-psoriasis-BG11	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
804.603_C43H89N2O6Se_7.23_1309	6119.499999999999	10349.406649018996	3263.6698069137337	12800.255917159762	9178.29710370601	9168.768140766115	3212.2134070383054	11921.685534101525	1928.6620990345684	9922.985557458735	7549.162073082112	7549.162073082112	7549.162073082112	7549.162073082112	2801.5151043288693	9763.851876362503	9168.768140766115	9168.768140766115	9168.768140766115	9168.768140766115	3212.2134070383054	59537.91334475241	67942.45865773901	67942.45865773901	67942.45865773901	67942.45865773901	8404.545312986607
797.068__9.54_5503	522920.19767441857	10753.499999999998	5501.790697674418	2750.895348837209	29509.604651162786	3251.0581395348836	1500.4883720930231	4251.383720930232	3000.9767441860463	95572.77325581394	64826.65503875968	64826.65503875968	64826.65503875968	64826.65503875968	3334.4186046511622	7502.441860465115	4251.383720930232	4251.383720930232	4251.383720930232	4251.383720930232	3000.9767441860463	573436.6395348837	583439.8953488371	583439.8953488371	583439.8953488371	583439.8953488371	10003.255813953487
790.587_C36H75N11O8_6.8_545	1160.8892045454547	10753.5	8363.731245727957	4435.451234620643	5764.938119446344	6108.564999145592	4638.044087491457	6284.972381237184	5055.6334372863985	5751.385989832535	5840.636078833448	5840.636078833448	5840.636078833448	5840.636078833448	6019.136256835271	5936.751559295968	5764.938119446344	5764.938119446344	5764.938119446344	5764.938119446344	5055.6334372863985	34508.31593899521	52565.72470950103	52565.72470950103	52565.72470950103	52565.72470950103	18057.408770505812
780.553_C45H79O8S_7.61_2680	7234.651773981603	2072.1471747700393	3478.2470433639946	17855.681997371878	12869.258869908015	12915.193166885676	3884.0	2483.0039421813403	711.981603153745	9238.322820849759	7056.018396846255	7056.018396846255	7056.018396846255	7056.018396846255	2691.4095488392463	10051.95532194481	3884.0	3884.0	3884.0	3884.0	3478.2470433639946	55429.936925098555	63504.16557161629	63504.16557161629	63504.16557161629	63504.16557161629	8074.228646517739
779.55_C32H68N16O5_7.56_2175	6119.5	8470.46361442723	3271.1424307848615	11980.199707899415	8143.271653543307	8321.245427990856	2578.676784353569	9446.599250698502	862.6676403352807	8746.879942426553	6577.085167781446	6577.085167781446	6577.085167781446	6577.085167781446	2237.4956184912367	8395.854521209043	8143.271653543307	8143.271653543307	8143.271653543307	8143.271653543307	2578.676784353569	52481.279654559316	59193.76651003302	59193.76651003302	59193.76651003302	59193.76651003302	6712.48685547371
777.35_C22H44N22O8S_4.38_3248	5639.7	59583.06428571428	1574.7214285714285	10107.514285714286	13806.278571428571	5712.942857142857	1684.5857142857142	7360.907142857142	2563.5	17035.067857142854	12003.690476190477	12003.690476190477	12003.690476190477	12003.690476190477	1940.9357142857143	8734.210714285713	5712.942857142857	5712.942857142857	5712.942857142857	5712.942857142857	1684.5857142857142	102210.40714285713	108033.21428571429	108033.21428571429	108033.21428571429	108033.21428571429	5822.807142857143
776.572_C39H83N5O5Se_6.62_1406	6082.675964085958	10753.5	3843.0229614365617	11595.546217250516	8418.879378863703	7796.8414777745065	3254.2237268177805	10536.657271121578	2268.1432881954665	9197.350051516043	7172.165587282897	7172.165587282897	7172.165587282897	7172.165587282897	3121.796658816603	9477.768324992641	7796.8414777745065	7796.8414777745065	7796.8414777745065	7796.8414777745065	3254.2237268177805	55184.10030909626	64549.490285546075	64549.490285546075	64549.490285546075	64549.490285546075	9365.38997644981
774.592_C35H79N7O11_7.58_1905	6119.5	9766.566016474977	3507.727074914517	13196.301328877837	8981.417236555797	9538.297443270128	2664.084473111595	11707.800007771217	1540.3373096052223	9884.980338824993	7446.892321175698	7446.892321175698	7446.892321175698	7446.892321175698	2570.716285877111	9652.431729872553	8981.417236555797	8981.417236555797	8981.417236555797	8981.417236555797	2664.084473111595	59309.88203294996	67022.03089058129	67022.03089058129	67022.03089058129	67022.03089058129	7712.148857631333
773.32__4.76_5786	259.57575757575756	151712.41638608306	4283.0	14478.558922558923	13137.417508417508	586.4489337822671	7724.7822671156	807.5690235690236	1081.5656565656566	30163.664421997757	21563.481606185305	21563.481606185305	21563.481606185305	21563.481606185305	4363.115974560419	6972.493265993266	4283.0	4283.0	4283.0	4283.0	4283.0	180981.98653198653	194071.33445566776	194071.33445566776	194071.33445566776	194071.33445566776	13089.347923681256
771.485_C32H60N16O5_6.47_2159	2789.807392996109	8024.39299610895	9995.988326848248	7600.5	34976.10116731517	4051.628404669261	11050.791828793774	3617.8774319066147	7452.630350194552	10176.717898832685	9951.079766536965	9951.079766536965	9951.079766536965	9951.079766536965	9499.803501945526	5826.06420233463	7600.5	7600.5	7600.5	7600.5	9995.988326848248	61060.30739299611	89559.71789883268	89559.71789883268	89559.71789883268	89559.71789883268	28499.410505836575
770.598_C43H87N2O4Se_8.28_3232	9408.47985004686	4140.88847235239	841.6232427366448	7611.201499531396	7263.999999999999	9525.91565135895	233.1696344892221	13935.715089034677	114.03186504217432	8647.700093720712	5897.225033843591	5897.225033843591	5897.225033843591	5897.225033843591	396.2749140893471	8509.840674789128	7263.999999999999	7263.999999999999	7263.999999999999	7263.999999999999	233.1696344892221	51886.20056232427	53075.02530459232	53075.02530459232	53075.02530459232	53075.02530459232	1188.8247422680413
768.365__4.82_6058	1640.2978723404253	481518.5531914893	4283.0	36208.056737588646	34567.75886524822	3736.234042553191	21171.992907801417	1518.7943262411345	2065.560283687943	93198.28250591016	65190.02758077226	65190.02758077226	65190.02758077226	65190.02758077226	9173.517730496455	19151.996453900705	4283.0	4283.0	4283.0	4283.0	4283.0	559189.695035461	586710.2482269503	586710.2482269503	586710.2482269503	586710.2482269503	27520.55319148936
766.535_C30H67N15O8_7.26_1956	6119.5	9750.980129919755	3844.2713030187238	12101.036492166602	7655.8055024837595	7340.126289644631	3112.363202139855	10068.997707298433	961.0678257546809	8839.407686918863	6772.683161380716	6772.683161380716	6772.683161380716	6772.683161380716	2639.2341103044196	8703.392816201758	7340.126289644631	7340.126289644631	7340.126289644631	7340.126289644631	3112.363202139855	53036.446121513174	60954.148452426445	60954.148452426445	60954.148452426445	60954.148452426445	7917.702330913259
