index	V12-leg-healthy-BH8	V12-leg-healthy-BH9	V12-leg-healthy-BH7	V12-leg-healthy-BH10	V12-leg-psoriasis-BA11	V12-leg-psoriasis-BA12	V12-leg-psoriasis-BB11	V12-leg-healthy-BH11	V12-leg-healthy-BH12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
98.512__6.24_2325	354.96048109965636	131.0	63.249140893470795	89.80927835051547	41.19072164948454	67.07560137457045	56.496563573883165	40.29037800687286	129.42439862542957	134.7889461626575	108.16628484154258	108.16628484154258	108.16628484154258	108.16628484154258	54.920962199312726	109.61683848797253	67.07560137457045	67.07560137457045	67.07560137457045	67.07560137457045	56.496563573883165	808.7336769759451	973.4965635738832	973.4965635738832	973.4965635738832	973.4965635738832	164.76288659793818
98.512__5.67_2114	159.53987730061348	92.76073619631902	160.61349693251532	63.12883435582822	70.0	52.17791411042944	53.89570552147239	33.282208588957054	117.88343558282207	104.53476482617587	89.25357873210633	89.25357873210633	89.25357873210633	89.25357873210633	58.691206543967276	105.32208588957054	70.0	70.0	70.0	70.0	53.89570552147239	627.2085889570552	803.282208588957	803.282208588957	803.282208588957	803.282208588957	176.07361963190183
98.512__5.19_2012	116.6	108.8	120.4	105.0	114.4	69.0	135.4	24.4	192.8	111.33333333333333	109.64444444444445	109.64444444444445	109.64444444444445	109.64444444444445	106.26666666666667	112.69999999999999	114.4	114.4	114.4	114.4	114.4	668.0	986.8	986.8	986.8	986.8	318.8
98.512__4.61_1741	146.29299363057325	39.179617834394904	132.0	44.05605095541401	113.16687898089171	60.19872611464968	32.28535031847134	68.10191082802548	86.76687898089172	86.06624203821656	80.2276008492569	80.2276008492569	80.2276008492569	80.2276008492569	68.55031847133758	77.4343949044586	68.10191082802548	68.10191082802548	68.10191082802548	68.10191082802548	60.19872611464968	516.3974522292993	722.0484076433121	722.0484076433121	722.0484076433121	722.0484076433121	205.6509554140127
98.512__3.65_1856	91.30620985010707	96.04710920770877	425.97858672376873	67.77730192719486	90.95503211991435	109.0406852248394	39.50749464668094	82.0	116.06423982869379	146.5289079229122	124.29740661432311	124.29740661432311	124.29740661432311	124.29740661432311	79.83440399714489	93.67665952890792	91.30620985010707	91.30620985010707	91.30620985010707	91.30620985010707	90.95503211991435	879.1734475374732	1118.676659528908	1118.676659528908	1118.676659528908	1118.676659528908	239.50321199143468
98.512__2.39_1840	130.55121951219513	264.1609756097561	132.0	62.78048780487805	92.0780487804878	71.9560975609756	41.69268292682927	43.94634146341463	218.9268292682927	142.06097560975613	117.5658536585366	117.5658536585366	117.5658536585366	117.5658536585366	68.57560975609756	131.27560975609757	92.0780487804878	92.0780487804878	92.0780487804878	92.0780487804878	71.9560975609756	852.3658536585367	1058.0926829268294	1058.0926829268294	1058.0926829268294	1058.0926829268294	205.72682926829268
98.512__10.13_1904	144.20689655172416	144.20689655172416	82.0	73.51724137931035	48.06896551724138	98.96551724137932	45.24137931034483	82.0	158.34482758620692	114.04597701149426	97.39463601532569	97.39463601532569	97.39463601532569	97.39463601532569	64.0919540229885	113.10344827586208	82.0	82.0	82.0	82.0	48.06896551724138	684.2758620689656	876.5517241379312	876.5517241379312	876.5517241379312	876.5517241379312	192.27586206896552
98.512__1.43_3070	89.26767676767676	137.87878787878788	97.75252525252525	105.0	98.63636363636363	52.676767676767675	87.5	35.176767676767675	55.32828282828282	86.73400673400674	84.35746352413018	84.35746352413018	84.35746352413018	84.35746352413018	79.6043771043771	93.51010101010101	89.26767676767676	89.26767676767676	89.26767676767676	89.26767676767676	87.5	520.4040404040404	759.2171717171716	759.2171717171716	759.2171717171716	759.2171717171716	238.8131313131313
98.013__7.04_2832	205.92000000000002	113.52	132.0	100.32000000000001	50.160000000000004	102.96000000000001	79.2	71.28	79.2	117.04	103.84	103.84	103.84	103.84	77.44	106.92	100.32000000000001	100.32000000000001	100.32000000000001	100.32000000000001	79.2	702.24	934.5600000000001	934.5600000000001	934.5600000000001	934.5600000000001	232.32
98.013__4.17_3873	136.0	83.11111111111111	94.44444444444444	219.11111111111111	45.333333333333336	185.11111111111111	56.666666666666664	41.55555555555556	109.55555555555556	113.96296296296295	107.87654320987653	107.87654320987653	107.87654320987653	107.87654320987653	95.70370370370371	102.0	94.44444444444444	94.44444444444444	94.44444444444444	94.44444444444444	56.666666666666664	683.7777777777777	970.8888888888888	970.8888888888888	970.8888888888888	970.8888888888888	287.11111111111114
98.013__3.33_3707	88.0	72.0	132.0	76.0	72.0	196.0	64.0	44.0	56.0	78.0	88.88888888888889	88.88888888888889	88.88888888888889	88.88888888888889	110.66666666666667	74.0	72.0	72.0	72.0	72.0	72.0	468.0	800.0	800.0	800.0	800.0	332.0
98.013__2.41_3525	136.0	71.77777777777777	188.88888888888889	45.333333333333336	162.44444444444443	68.0	109.55555555555556	52.888888888888886	45.333333333333336	90.03703703703702	97.80246913580248	97.80246913580248	97.80246913580248	97.80246913580248	113.33333333333333	62.33333333333333	71.77777777777777	71.77777777777777	71.77777777777777	71.77777777777777	109.55555555555556	540.2222222222222	880.2222222222223	880.2222222222223	880.2222222222223	880.2222222222223	340.0
