#SampleID	V4-forehead-healthy-3A6	V4-temple-psoriasis-3A9	V4-forehead-healthy-3A7	V4-temple-healthy-3B3	V4-temple-psoriasis-3B2	V4-temple-healthy-3B4	V4-abdomen-healthy-3B7	V4-behind-ear-healthy-3A12	V4-eyebrow-psoriasis-3A3	V4-eyebrow-psoriasis-3A4	V4-temple-psoriasis-3A10	V4-abdomen-psoriasis-3B5	V4-temple-healthy-3A11	V4-eyebrow-healthy-3A8	V4-eyebrow-psoriasis-3A5	V4-abdomen-healthy-3B6	V4-temple-psoriasis-3B1
4707_608.845_3.5	160464590.7993526	24076194.799382783	32609939.94873908	39412239.0	24317663.98762876	23598489.47049226	35283467.18121274	149439003.59963673	162898703.61844596	128310350.20352335	104965983.35746595	20958103.768110007	50816766.45478099	209698126.706913	30183714.81380749	27301793.64011907	53562343.37367337
4705_872.132_3.2	119267383.77263476	155169836.3044997	40527309.96847916	24935841.32860595	45196264.56116468	18017841.37763692	21782037.62078528	24681539.5	94643626.39332771	45718000.36049447	233648376.3881761	826251017.4839561	11478403.151263054	416445499.93429726	29173239.72749828	40011342.298292495	307169739.69617873
4704_195.174_5.98	42211939.5	32944444.11383373	83472252.44769837	21364677.480494384	22549864.768737607	58991508.9256674	12641193.542931406	29433658.863241266	76333931.01794578	59835342.74436571	60685206.61446755	21675613.584290747	54569105.98967073	48834654.91500541	18804194.72709661	28722803.54654711	38673149.478647776
4703_940.632_8.28	42211939.5	37954361.597980976	36313314.54131425	75444892.08782409	38303593.28778073	59861589.21064363	109674855.94204076	19028380.25558447	58162334.0468445	36405425.81224849	22838845.52769013	56591356.54256729	214520312.2980012	30793589.013066586	50783709.8296733	96617600.12676479	60199405.8840454
4701_393.284_4.74	92996002.5790223	45337967.62266558	73588277.36020172	114444609.1876922	49200469.5	67309556.56368427	1.673977358447427	1.673977358447427	33321522.03233374	55746859.27613319	32612426.89727277	1.673977358447427	74606423.8691566	63984369.61284165	41335723.78942532	1.673977358447427	33132832.978466906
4699_614.436_10.04	33098594.555346545	46085424.72463934	30357819.25336181	26294305.34537964	26234358.34644623	35201886.74112129	112796321.59375706	49217128.36374126	33063136.42438826	28739934.406749673	32511369.0	37920700.24759585	67850639.12816535	75862622.31920663	42281966.58510684	35330795.36028569	122843366.01401985
4698_734.607_10.0	19885919.31565517	24820804.10953277	38222030.03367814	301656847.34038484	1513171358.0106268	29099409.5	53472259.99034922	52915354.46789286	29986146.45311686	14733642.28596394	12584130.968845833	2226346039.9477205	867430423.1105825	26649289.59715446	46306774.85327573	58421377.5937011	72337367.76812275
4691_937.211_4.27	57172689.14346842	158637937.35845727	32183182.93466418	22580607.79047357	63387293.06422088	29099409.5	19829753.93524656	29383097.77481196	134000071.89626344	28005887.20658542	111390092.8628718	210811538.36263815	29551960.06725601	34300580.82642131	47902751.20816938	30345228.34718349	66209680.79099967
4690_598.951_7.71	143808266.37612838	60115521.73266097	46119839.36786229	53825276.29441075	49200469.50000001	70039591.43001351	21842288.63655137	17472098.26768723	39038670.90045006	30548403.03035429	50780481.38200991	24356551.32541141	16202392.989561033	39343078.662295	27727505.36555361	59592385.17004384	56411468.17261744
4688_372.223_2.69	26114449.62630226	51707167.05021749	25016869.367389213	55585224.31584949	23523186.003577035	61028651.87306065	40521680.0	22642132.31919014	115431082.67027748	93384372.11521332	26237399.77322054	15955808.539948124	27711083.11313385	117615614.22803415	76315143.82374066	50190375.76405585	24587289.906698305
