#SampleID	V8-arm-healthy-BD3	V8-arm-healthy-BE3	V8-arm-healthy-BD4	V8-arm-healthy-BE4	V8-arm-healthy-BE5	V8-arm-healthy-BD6	V8-arm-healthy-BE7	V8-arm-healthy-BD5	V8-arm-healthy-BD8	V8-arm-healthy-BE8	V8-arm-psoriasis-BE10	V8-arm-psoriasis-BE9	V8-arm-healthy-BD7	V8-arm-healthy-BE6	V8-arm-psoriasis-BD10	V8-arm-psoriasis-BD9
2366_531.259_6.18_C25H34N6O7_N-[(2S)-1-[[(2S)-1-[[(1S)-3-[[(2S,3S)-1-amino-3-hydroxy-1-oxobutan-2-yl]amino]-3-oxo-1-phenylpropyl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-1-oxobutan-2-yl]-1H-pyrrole-2-carboxamide	19686802.047346324	25486751.79566557	76754525.97873302	202505802.75535882	51013650.77465623	18080177.972218066	127894480.66569568	11832967.867628835	209949213.68501624	17967924.784708854	22678185.569344066	21399411.73948436	61937378.87459235	128772519.40442856	29515726.08827897	27068826.57072677
2364_665.53_9.36_C36H68N6O5	154726671.67524856	28117562.42200725	54911618.77872581	383244594.3981877	47357010.74652445	34840120.137639	101070150.31751256	23654904.39097911	32065934.99596401	32769081.965139017	25174367.68853497	54471791.43626289	28229014.85837579	74736363.41578859	46497020.19346964	286772054.92940736
2360_392.192_2.41_C13H25N7O7	42605007.88309575	47296416.79131473	37108292.45026561	38584121.38774953	43582918.84273079	50018654.83489948	58806154.99027484	54136812.19895898	37755973.20575049	38726156.50148838	49223092.86189716	39367539.57876621	80198651.66064923	41624842.42847764	48189604.95842196	40281823.17073591
235_733.544_8.47_C37H68N10O5	14874972.638679055	17828254.145039164	64199119.16931144	72246476.70578311	70316741.36911693	51292420.20038791	112329405.47545038	28379392.068728354	60318808.68263908	44485264.69095246	28014686.7551886	14914520.725810822	134844075.46383402	145204958.95798084	23578036.11149556	22089396.592478167
2359_795.415_6.33_C31H64N10O9Se	16802363.688128393	13344062.096208084	22197095.163814	15976357.385517038	43868392.11886491	41920440.85278682	38178785.71749596	42766788.55440979	80898378.63210723	28463248.92688054	24211713.93041445	111483735.75025985	95292698.05687836	131326466.1476808	52683829.24936915	34732924.32001249
2356_546.597_9.73_C38H75N_Dimethyldioctadecylammonium cation	37564154.36278964	48378565.32385282	38137738.90793153	42501674.49248099	66963433.10913327	39799363.609298855	55501568.79132524	61048083.05704156	180008636.71529436	36357856.33844752	35322337.584967315	22485937.330152586	61205647.26527726	62705472.1614133	43521521.53707754	29520416.82041732
2355_405.19_3.27_C18H24N6O5_Anilides	5388125.408423872	69458837.09488186	26902094.37976999	11333026.348440845	47158518.25189465	76751120.28137732	21740187.136542287	65558518.47792169	43876088.318076536	52258714.62727658	71595800.41472705	104106583.11868456	68208737.37739064	35634037.814438626	44114047.92395236	69893706.94408706
234_641.537_8.66_C39H68N4O3_3-(4,5-dihydro-1,3-oxazol-2-yl)-N-[2-[[9-(octadecylamino)-9-oxononyl]amino]ethyl]benzamide	9073769.732478123	6066896.670391155	61030225.48880482	74095860.08890364	54715167.78951021	40279530.01219715	119772759.00922626	28408064.23310161	60999511.19426504	41546756.57992795	18311385.297719527	26641235.96409147	121690206.61255668	161619682.18809673	17836759.806553435	22914509.289076675
2349_359.326_4.62_C20H42N2O3_Fatty amides	31133321.89527583	13158596.309878193	55547105.97984893	26680911.003657676	34264627.03565259	135632203.91621953	420694239.29964864	15704751.200651444	59618271.98147132	79378035.14032413	37218695.185956016	53981086.63084263	150303979.76217562	59128563.10168923	31356512.721760716	10149905.72271416
2348_511.282_8.85_C32H40O4	17508992.881009042	26981619.93496875	70144941.9477668	76850040.69743109	81427945.48230514	18814765.836673893	56438145.81307117	33995070.85780102	86347782.93788856	26360879.673951026	23864044.945873164	94737489.49507844	32806705.998640846	66376824.64249302	24071259.235445306	32136550.69358023
2347_322.272_6.86_C18H37NO2_Carboximidic acids_Impulsin	4849575.560679675	5100836.6901090015	75804541.03544259	134423357.3022336	100475696.93849485	60257834.11899172	34313215.76985225	13883135.545142725	107880370.7528042	38862097.4129746	37376100.821258254	25912124.556491114	65090951.18919547	207284413.52566805	16662861.768153625	19789162.97199121
2345_584.447_8.74_C29H57N7O5	8399121.222431507	26402443.51034587	71436760.72831954	15591039.452279136	42469523.41852735	51500023.81587387	87207171.31912771	16148977.484984893	147818936.33267525	81308671.11823876	19998037.605652116	57136981.15849622	69357169.59160443	91548410.1652759	68831557.09381439	167580495.91020146
2344_882.722_9.38	15081716.402697675	36311444.22489242	85242292.19039467	39565365.157117374	45944417.55054362	9355473.622248664	172103457.37569833	41732307.18370903	43355739.4218763	44710050.22703543	10103258.657677244	11036337.683833003	93775739.54042874	62017706.32153885	12531594.58633076	42780058.70198607
2343_266.209_5.44_C14H29NO2_Fatty acids and conjugates_2-(4-aminobutyl)decanoate	12405877.258391187	14915897.354750974	60517157.5799848	80607644.40784967	56164557.27627356	48061094.28330803	112797076.74120384	29774856.007996146	81180942.01191919	7234768.340872263	16201679.753416272	37972422.74930106	133791497.31385529	161494704.56076857	25606662.96675971	20787810.09807605
2342_407.252_5.1_C17H34N4O7_Amino acids, peptides, and analogues	55090784.78625865	69313595.79083277	72692553.54134707	54546056.65636686	49218780.35495038	39649653.45165476	295070356.0806594	28670845.692739386	34801354.39407896	32093249.618789505	39319124.739934795	20158872.68962665	26802868.88369506	83429195.60072093	18031405.793202654	30435412.254448626
