#SampleID	V9-arm-healthy-BG3	V9-arm-healthy-BG5	V9-arm-psoriasis-BG9	V9-arm-healthy-BG6	V9-arm-healthy-BG4	V9-arm-healthy-BG8	V9-arm-psoriasis-BG10	V9-arm-healthy-BG7	V9-arm-psoriasis-BG11
560_430.376_8.85_C27H47N3O_(3R,5S,6R,8S,9S,10R,13R,14S,17R)-3-azido-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-6-ol	17053473.009864926	25896362.196343835	115485129.55169328	81575801.80942726	102734717.4095578	62163245.60061733	27912072.157277994	63070179.0	16798205.38926802
5604_581.896_7.75	34771105.0	9978441.698334046	33939439.57121652	72250449.39473276	87272130.02574107	75413251.89798993	14530732.424373254	77207080.94875237	9602009.828919213
559_392.193_3.03_C18H25N5O5_Adenosine, N-(2-hydroxycyclopentyl)-, (1S-trans)- [CAS]	43525984.9281506	58342713.35923448	47941874.32631441	57333667.50102975	47315100.47505532	52991990.0	53325478.533893295	47429783.71514261	38996311.57496449
558_761.265_3.75_C27H40N10O16	42311377.988393	70974885.0	38201325.26242256	45489592.77529787	45591181.33568016	52399441.06429122	44468776.5693956	51370394.3062133	47289619.09083279
5588_552.265_4.19	2795733.445406537	2160136662.6027675	31034179.000000004	209036790.82907745	166457891.14304608	3544887.513251385	78824326.60377118	5437200.140756038	5865217.507281953
5581_527.241_5.8_Betamethasone dipropionate_Pregnane steroids	27787159.89038069	119388063.55607492	45786604.04534366	77931989.0	69931709.69233358	44752852.83171392	32921167.294794105	48405807.30313954	50385074.34630659
557_603.338_5.36_C20H52N10O6Se	13984759.62851111	70974885.0	61512478.64754151	63277856.03963625	54903008.56082629	59868810.78365749	58829765.92151234	54873756.13996209	47956397.19828761
5575_539.847_8.1	89451959.99294226	70974885.0	45983165.76623669	206977167.23934853	75617291.55808286	39378433.28952017	24039579.775074877	51624553.2278295	33858975.59547555
556_724.956_6.45	44676271.63581511	51222220.02739073	30093723.954515006	57012536.46424605	38220793.659711786	52991990.0	69325692.79759133	69448231.69793628	39497459.032458216
5566_853.475_3.83	49599162.28238308	57522115.31993121	60455239.29654091	75119221.91452646	53708652.11080647	50124860.80634578	78656842.34421192	63070179.0	37681700.90341583
5565_819.667_8.9	97908293.23854084	145519273.96850672	57858831.26260806	70973195.15967837	83366650.0	17890885.59733917	17394296.4809829	77876658.29150605	12716727.17704028
555_311.221_3.71_C18H30O4	55752582.81064942	53810869.99478049	57558613.83876386	51263729.96841887	56481832.51943801	52991990.0	52895807.65369896	54196924.81337043	53117050.61260346
554_498.29_3.8_C22H43NO11	17321852.534116566	55492956.67899562	4081518.7225839263	53127061.33218091	83366650.0	138883487.4211588	41888297.40654487	168379386.1581044	52578920.28253816
5547_895.016_3.8	34771105.0	108344301.78560184	43744665.97306907	38429109.01597028	38146797.12756441	21825621.53346804	32183659.52163798	47893572.85621348	24831791.77120852
5544_659.467_6.07	51017355.76792834	4.51581571329761	73449738.06096992	76194450.85151221	83366650.0	28457564.250351787	4.51581571329761	216985080.4984216	51554810.09086217
552_517.385_8.91_C23H48N8O5	26054716.317964014	45112861.44992577	173636705.87388402	77931989.0	79555081.42953436	69844856.12620454	106832886.9721567	45438476.01037912	68712047.50385702
5529_400.168_3.73	37569768.98248272	70974885.0	30539129.35307447	37749095.94189759	45492792.57237216	61640166.91249978	52290642.33955538	43671541.28076161	26775978.02537136
551_658.916_6.46	69900175.75072531	61511145.85789833	31034179.000000004	52763752.38950121	62103432.62425719	28951502.92117828	75339932.43447821	69808097.27208385	59068998.70982367
5518_226.217_4.61	22530417.011086617	109147116.2756219	28520170.863843426	241571900.18245816	50844472.21289367	28876577.364014506	65452759.267749496	63070179.0	42795514.02567524
5517_719.365_4.21	54550713.7277669	43819199.04184918	31235134.50183498	72862888.19914207	36203873.56451701	69621066.93354197	30999084.0	38058885.24665288	45017703.03476432
5515_831.462_3.77	39504549.57821889	70974885.0	29498938.21518518	79209378.44456871	58083354.51270522	43435675.56464873	41151548.73329172	56181422.47896061	54568086.66333464
5510_379.161_3.82	12.154169228349087	93260386.83526072	12.154169228349087	262850074.60812277	83366650.0	12.154169228349087	142386457.13518643	12.154169228349087	91684963.41988212
550_395.367_7.18_C29H46_4.beta.-Hydroxycholesterol 4-acetate	9823656.204202484	113138676.59569833	76464891.3430489	77931989.0	64260875.08021724	52597777.13198394	75839012.30715019	14082380.46787727	65171063.98977095
5507_897.5_3.9	91997602.72509088	32076129.91223647	62853768.34776804	77931989.0	63568196.44328917	29904477.318492826	95492084.45593628	37882810.78580845	26953485.40994541
5506_513.246_4.7	44312259.442220815	63715533.69923405	31034179.0	90605486.48839436	42121301.7985892	34671470.64839697	44276096.57174287	28350330.04196127	26338322.64084831
5503_797.068_9.54	2786689295.702341	70974885.0	40865055.84576564	20728701.09653693	218750054.81585667	27078187.06571269	12727346.606253825	35409754.2691937	28782860.642547466
54_649.308_5.0_C30H48O15_Terpene glycosides	16984445.669454142	68953630.60122278	6009334.468322496	34755572.58160846	83366650.0	81444373.11396323	48933162.20819808	111456010.10140918	43526837.38330904
549_612.412_6.5	61304755.6335204	70974885.0	73602376.7033655	47000030.61087268	57828427.39830294	45001439.72347704	38306058.46020163	61463150.66382848	40766145.74863936
5494_674.467_5.11	8899947615.63086	905871731.6289424	16971116.065714188	210712804.42758915	2058704552.2753856	27068456.106181186	19288646.89028608	35291724.93903357	22762799.0
5491_509.417_9.12	70209893.50457594	40825754.612570696	31034179.0	40426230.73955969	36384164.32581645	59630155.25654963	119648282.52375704	50931913.0216813	25371456.074449066
5490_965.514_3.3	37619377.91719768	31773657.990768503	30134426.624758	24652872.5567273	21457321.522260536	73945005.77660568	30999084.0	66229956.23644643	46744451.07335845
548_527.403_8.46	30815851.60526705	71440381.81240554	20585707.145704992	186336770.6376424	83880474.6598425	52338541.25201882	42255574.63231891	32199401.81177882	22762799.0
5480_458.77_3.17	34282094.58323356	70974885.0	23987045.21075141	34211248.75470865	84395628.10620482	51975890.71732007	71190974.86899932	92788255.05082764	56332909.17160165
547_466.319_8.41	43136106.160023496	67966610.53841309	23376860.451127075	107264529.37279312	130353592.17500684	76279557.95878097	30999084.0	38676965.05091487	5735814.793767412
5471_324.251_5.81	26306536.98740893	56993769.92343498	39257633.3001167	42955275.16337312	74342103.02662924	52991990.0	38010940.15080034	97227622.44912146	31228221.51447678
5466_203.091_2.77_Triethyl citrate	82624317.27449796	70974885.0	21018198.67800611	58530449.65923324	47455818.2795296	94246741.96267062	37189450.034940585	18553467.80492264	89574074.02074675
5465_877.461_3.17	29937072.83974409	54640292.75241157	48542119.35329007	77931989.0	65521972.38352462	108335870.61408176	71296207.62349811	102461560.0338472	21702799.043299545
545_790.587_6.8_C36H75N11O8	6794808.142888715	76841316.96159106	66528290.77083373	35716084.17850201	46630893.22165919	52991990.0	40773188.695304826	57025596.80033589	50289081.37863649
5457_247.143_2.11	24460233.5626942	4.804830392225244	57647970.65948711	46002383.11709098	54146061.31989119	101099661.51456138	30999084.0	102638672.71334308	42297954.98129316
5451_469.291_8.54	59287767.936528504	53939153.53191301	100913195.32753964	45299845.74373917	47342751.28184139	85077253.78018148	23998535.01953989	63070179.0	41247180.22514707
5444_221.102_1.71	130708455.90915129	3774104454.2272367	28157279.24995047	59822213.85838392	94021324.83184636	51847519.28363418	42066295.4317011	63070179.0	8.166359020971958
543_663.464_6.88_C35H66O11	37075483.10532617	70974885.0	64254194.95904798	42755517.18179423	54765542.31054788	34631183.5774669	61393794.60090631	54091061.983486295	48354842.27072267
5438_690.317_3.25	36309061.86534437	70974885.0	44244562.01336106	30511255.54933661	54953245.72626568	28822772.561010733	26296174.09389907	87459018.96643965	39762836.65344094
542_744.49_6.48	61179446.76383145	69662696.64811477	75580264.39077085	51851901.05470938	48713532.78172892	38505087.75480866	78651754.21660417	63070179.00000001	53627097.68778863
5426_769.484_8.29	30643817.7816115	55159688.45090206	31034179.0	826378468.8667363	88211125.99276534	34080289.63433815	39403624.33682327	29464552.57020589	29439905.20412695
5424_659.469_5.53	4724126847.981048	354491612.53466547	31034179.0	113699106.62695524	72264283.64536573	46625021.75023069	61414574.60967668	28676923.23430665	18069924.528314497
5423_721.863_3.64	80465648.57695302	41834143.06227005	51738566.44955199	44567154.32222359	45878313.24213768	52991990.0	63488959.40857483	55542534.85111936	31263928.979098044
5420_191.091_2.15_NCGC00180442-02!2-[(1S)-1-hydroxyethyl]-1H-quinazolin-4-one_Benzodiazines_L-Iditol	4128541.0869810614	4304907621.697511	31034179.000000004	316820198.7797321	622948976.8983167	8764153.814157192	46224535.02035852	5069656.7629837785	3796695.286745837
541_281.247_6.28_C18H32O2_MoNA:784624 Linoleic acid_Lineolic acids and derivatives_Fatty acids and conjugates_cis-11,14-Eicosadienoic acid_map00591	26382573.33017982	55762687.61754333	42288604.46469198	63721001.98011335	63496806.89546812	53872690.34260997	39531781.39948915	69190316.57815932	22762799.0
5417_447.184_3.35	37833787.75136095	47064091.89188383	120700421.84625147	56780243.09683154	40037113.49669941	52991990.0	35804754.43694404	36238164.64382253	85799414.35293837
5414_665.277_5.05	24918313.540533226	61053221.57406285	31949490.64612972	77931989.0	41936970.50554932	67153515.33406782	81968181.80047102	6.808933515645819	24354772.158110794
5413_296.775_6.89	79422126.71816787	45.6753506465045	142724463.01082075	71829695.88160202	83366650.0	47864570.20299146	45.6753506465045	73027988.70581307	34727882.6035503
5412_592.54_6.91	34857412.37424139	74472741.28020144	17594559.855241556	118919525.17323051	83366650.0	42569646.38731069	58656068.15886074	31206924.697635166	17352737.97937688
