#SampleID	V2-arm-psoriasis-2C7	V2-arm-healthy-2A11	V2-arm-healthy-2B3	V2-arm-healthy-2B12	V2-arm-healthy-2B9	V2-elbow-psoriasis-2B6	V2-elbow-psoriasis-2B7	V2-arm-healthy-2B10	V2-arm-healthy-2A5	V2-elbow-psoriasis-2A9	V2-arm-healthy-2C4	V2-elbow-psoriasis-2B8	V2-arm-healthy-2B11	V2-arm-psoriasis-2C5	V2-arm-healthy-2A12	V2-arm-healthy-2A3	V2-elbow-psoriasis-partial-2A7	V2-arm-healthy-2A4	V2-arm-healthy-2B5	V2-arm-healthy-2C1	V2-arm-healthy-2C10	V2-arm-healthy-2C3	V2-arm-healthy-2A6	V2-arm-healthy-2C11	V2-arm-healthy-2B2	V2-arm-psoriasis-2A10	V2-arm-healthy-2B4	V2-arm-healthy-2B1	V2-elbow-psoriasis-partial-2A8	V2-arm-healthy-2C9	V2-arm-healthy-2C8	V2-arm-healthy-2C2	V2-elbow-psoriasis-2C6
533.366_C24H48N6O7_5.96_2936	19495536.59599472	41832349.0	67506697.7528976	19701442.337301888	19441438.67553555	83676105.92876643	83027349.42718941	24288147.63085864	34724190.5740636	76837039.97270876	46822286.37028328	29177128.0339414	49525691.42357295	48498219.68917793	33322054.992964264	20669188.895084243	73283972.86152887	17929169.439792167	93074517.3932082	140031990.47491205	26865605.218339194	112276480.42294021	73463248.18653953	23271638.470653586	26049070.68932929	53690190.15227735	42138377.59960192	105396182.67629468	27056050.15528606	43534376.522323176	69305690.43551518	24803060.932145435	73815540.04080726
532.861__8.34_640	67918538.66794094	33136546.96446894	27568896.197610494	46813977.43759043	74968208.42643791	60594158.35176331	45456839.91885085	83121893.18296771	24307577.00926357	89812451.7741604	63143888.20587616	83032535.93978444	46240181.604144394	27626155.17173445	18419470.58370063	36024063.718237154	233657449.26185015	18903037.290920824	46289758.07496966	9216368.79898619	52923711.1609041	36835931.004499264	224923702.82015693	33930389.0	36861861.73355879	77495635.456578	10479076.139234362	9911249.9554492	214942237.77445012	51919588.72283081	28496968.94768678	27945247.642188717	107736856.72700292
532.37_C24H55BN4O3Se_3.91_1530	60110401.87838136	34074303.23287217	22831406.78183296	63125689.79384796	39943947.52368873	66690043.83199224	91579769.61377832	2805027.392063573	43169490.766908586	51547119.73069138	178108773.87295026	21137149.92945836	32475572.112501133	188043165.72505534	23791919.13048229	5554654.065567266	43939664.4452154	37518791.15694993	42329349.5	18506904.44271032	57296135.87881003	18615236.21431115	37242852.67235119	73507963.72662733	3803334.1341216965	70627881.46261194	79107681.64185236	42999058.610089175	48929427.67599755	101876904.16583492	136137449.17550844	71005348.38656951	31330629.04210941
532.372__6.76_3044	116535381.52591112	41722378.98301291	45344759.49308756	38947500.33846667	80794456.7240261	23924956.819330133	80436673.58052647	57312296.6487407	33171656.01713803	33026669.472627804	46752010.64976959	106250591.73126084	94202558.19848391	21513575.878033366	21547808.81215384	42061170.73961057	42418142.959869504	23684180.64731795	53144317.18594061	235361925.98329595	51814563.623123206	94738420.6298832	164189914.36672437	33930389.0	189115191.2641693	18338838.602915112	20056033.874333814	84863658.66094074	42105091.21311648	23282096.059662424	46614153.69885202	44472769.37842161	127707781.23187688
532.361_C21H45N11O5_7.35_3653	34679817.829838	33725101.48560749	49663121.28265561	47599986.38452178	25519608.87408332	58232886.00520932	137406392.50150812	32758193.595610034	23547522.362285525	58189439.18119302	36102503.74678061	37053051.48817496	44204382.08381851	62062265.31943985	82206511.6729201	83422334.14025164	65132982.02504454	47120185.74389332	868547164.2473555	30602258.758507237	39324251.42875511	37973938.37258212	1433017859.1516619	33930389.0	51728571.55775276	41793247.41455104	39638694.40920878	89223809.20930178	658117659.7704022	29182248.69637852	34630275.23293823	58543446.91650293	43194581.951113336
532.355_C25H49N5O5S_6.84_2142	41660630.81832754	101883872.96075082	33954253.15843259	31947455.47341367	35170322.67952097	56526938.12866348	18592462.95975241	13136805.941381255	55269149.92015857	72334236.89750057	38596178.84518517	15946290.765700385	13108879.29425954	15670386.344849136	27431449.22836937	29823486.039133336	84872067.00695129	14499120.518414656	58446006.97399248	126315533.86339869	111799375.66969071	55385609.5	99869101.1411365	43510472.59744669	76478440.13142203	128077962.33300416	10567207.38660449	33567970.111277804	54549965.67909496	13400172.172698556	2332563.1894377773	20653186.723956384	100079978.67317449
531.897__8.18_4684	20261911.298764385	72390420.66503438	53868235.22357641	26212133.178243507	208984281.05094004	26265327.81246308	219964611.12197825	42369222.42276691	19001544.615694307	60533829.5	1492398877.4399445	54445651.67340638	526424078.4993372	22138083.423722357	21862599.27200785	26268419.06088722	28828767.13503023	469176670.2222371	18177403.407919064	106335132.05251724	40387160.66138251	26301060.48756119	36360770.04971679	20233727.02098104	145921087.85053664	28738829.77826233	24329131.55095313	47074390.08230016	25368869.36393754	63602723.88466307	43680059.12807343	18472721.87219683	236567918.48205125
531.859_C10H16NO6P3S6_6.57_2920	12467021.515898215	112263236.354784	27348773.956004426	101076186.03917488	38992719.20708324	31095405.897040185	57472028.14948471	46226454.40873276	65435337.74670458	74293112.6502908	48354754.66604437	38363839.132242605	26451428.50056499	45344539.45492812	89565600.56192718	78769192.24766378	95115228.00209332	34767358.32918861	36309713.01112617	91260232.43248244	48463972.20020276	17216731.117620446	130638714.18043554	18875018.928832393	26654906.755130835	109132333.70891021	18636749.17052921	102319876.5497372	73447159.95388964	58647059.26473386	25626863.0497562	19715300.044550546	63843239.5
531.406_C29H62NO2Se_8.95_1808	27421748.738660026	21044824.403993864	50528684.28709325	35821884.72137436	37041576.2076006	41128789.5	50273582.19754978	46107969.16104952	25784650.484640054	26652451.03754067	44604661.95914054	49138335.30343703	42814222.77959425	30360138.8359638	22543987.44002782	39992520.98923829	72700616.59276062	64200966.32384182	69871379.95535918	46756641.42793604	30081349.495280463	85975455.81231079	38091567.32561614	42994784.18859124	42207358.7315845	33188421.73822121	23344989.19801744	22045333.299002074	729708053.4677131	85781990.12922956	78357993.58125918	21443764.00837564	45113165.70652936
531.385_C22H52N5O9_6.91_225	63643349.55065514	54055429.84881935	30474655.423915014	33577151.24019497	46595135.10582983	18542708.97190834	61835010.33235837	6304710.728514139	19872651.101120364	75076220.90770888	57980533.87554303	50877135.42619783	48917898.79865268	31243573.55179809	37484108.57908173	63349341.7744125	25511585.101856723	24410789.5	32427728.12126698	70840874.31432912	34003997.38971131	53381855.63396008	81455493.73026322	28008036.53498833	47694243.44462501	74964317.28545219	17622802.042537276	43359491.87641728	4758247.186474693	37172562.59677047	34551429.00080879	37349839.26445635	102567276.17322984
531.32_C24H50N5O3Se_6.21_1424	41386240.48148702	70570382.86214499	7571652.86425049	48815954.72073896	49792445.50634085	24266382.30068433	40783262.15215719	42515379.87203458	34456044.43012542	71803847.75186373	64129566.01069564	30573299.31795337	41311645.92434559	24139433.877956025	33994050.94746142	57147404.14654165	62389409.5	27467646.280383553	25485256.405330576	88221147.98984191	88353092.86947973	63850999.26319102	85765255.54060175	36660500.28862599	39197534.02283105	70343566.28095125	14694012.659439215	43452715.85349274	41419868.30511507	42457305.27671535	32571532.83424389	44081361.65773297	94953661.63227773
