#SampleID	V9-arm-healthy-BG3	V9-arm-healthy-BG5	V9-arm-psoriasis-BG9	V9-arm-healthy-BG6	V9-arm-healthy-BG4	V9-arm-healthy-BG8	V9-arm-psoriasis-BG10	V9-arm-healthy-BG7	V9-arm-psoriasis-BG11
213_526.431_6.99_C30H63N2Se	6526.379752219918	8241.764449407136	3538.2404423884723	11076.566810230232	7263.999999999999	8243.599085446907	2997.988408571276	9864.451746690062	1986.2349125325675
2128_380.181_3.2_C18H25N3O6	7765.638532603822	7234.756121625258	6754.9498609740795	6570.250246658893	6269.468472508745	5870.145842676475	6608.428379226837	5752.0	4328.574760068168
2104_711.192_2.29_C35H34O16_Biflavonoids and polyflavonoids	7128.611012433394	2569.994671403197	7552.415630550622	3969.0932504440498	5881.647424511545	6118.0	6938.442273534636	4708.0346358792185	5998.465364120782
2102_905.398_4.79	1025.4	154882.0090909091	3076.2	28245.109090909085	21346.963636363635	5732.918181818181	7597.2818181818175	4194.818181818182	2563.5
2101_553.335_6.43_C21H44N8O9	2801.178241238443	10525.751881315846	7819.8013330466565	8117.851644807568	4565.982369382929	4385.420769726939	6469.2995054826915	5752.0	4934.525908406794
2082_299.305_5.5_C18H38N2O_Fatty amides	8697.759647188534	6991.819184123484	2384.5115766262397	13064.079382579934	60624.304299889736	7502.332965821389	1163.7177508269015	5752.0	497.83020948180814
207_413.377_8.56_C29H48O	9532.931094019776	6561.657510594883	6353.007063255376	5559.451263537907	7264.0	3734.044890911945	5199.1586878041135	3915.331345157746	4397.621723434311
2075_572.27_3.16_C23H37N7O10	8600.006771053746	4732.0727888277615	16116.797291578503	6170.681337283116	5153.188319932289	4469.179856115108	5854.236140499365	5752.0	6910.676258992807
206_401.159_3.09_C22H24O7	128688.5236385398	6669.022740873726	3791.2561340514662	5114.809096349491	5841.573309395571	6117.999999999999	3919.400957510472	102695.26152004788	88808.02393776181
2068_323.17_2.71_C14H26O8_Pentaethylene glycol_Monoradylglycerols_Octanedioic acid, bis(2,3-dihydroxypropyl) ester	5270.644396551725	372746.15948275867	3922.5969827586214	106462.59698275864	187478.03663793104	8055.135775862071	3745.8038793103447	4585.571120689656	2563.5
2042_527.322_5.44_C28H46O9_Bile acids, alcohols and derivatives	1494.4803370786515	9929.398525280898	9911.607092696628	7600.499999999999	5230.681179775281	5442.39922752809	6079.332514044942	5896.080758426967	4113.379213483146
