id	SiriusMF	SiriusScore	connectedCompounds	ZodiacMF	ZodiacScore	2	3	4	5	6	7	8	9	10
9	C10H25N3O7S	0.828954408	3	C10H25N3O7S	0.827327327	C8H23N6O6S	0.07997998	C9H26N5O4PS	0.040740741	C11H21N7O3S	0.036036036	C10H27N3O5P2	0.008108108	C13H27NO6
3643	C27H36N4O5	0.956327497	6	C27H36N4O5	0.896596597	C24H40N4O5S	0.087487487	C20H36N10O3S	0.007207207	C26H40O9	0.002202202	C21H37N8O4P	0.001301301	C19H42N6O5P2
3644	C37H75N13O7	0.658846469	5	C37H75N13O7	0.667867868	C34H79N13O7S	0.238038038	C35H80N11O8P	0.035335335	C30H75N19O5S	0.02042042	C27H71N23O6	0.017317317	C38H71N17O3
3645	C9H14O2	0.999990294	1	C9H14O2	1									
2319	C23H42N4O	0.736271132	5	C22H46O5	0.959459459	C23H42N4O	0.031831832	C20H44N3O4	0.007607608	C17H42N8O2	9.01E-04	C20H46N4OS	1.00E-04	C18H42N6O3
2318	C20H38O3	0.999704175	127	C20H38O3	1									
3648	C29H64BN2O6Se	0.558163701	5	C32H66O6Se	0.97027027	C29H64BN2O6Se	0.029129129	C27H62BN5O5Se	5.01E-04	C30H64N3O5Se	1.00E-04			
3660	C30H57NO3	0.99514946	0	C30H57NO3	0.994694695	C26H53N7O	0.004104104	C28H55N4O2	0.001101101	C29H58N3P	1.00E-04			
3661	C23H44N2O	0.938032595	0	C23H44N2O	0.940840841	C16H42N7O2	0.04024024	C21H42N5	0.013213213	C21H46N2O	0.005705706			
3662	C32H70N18O6	0.758656425	0	C32H70N18O6	0.745245245	C27H70N20O8	0.122722723	C31H74N14O10	0.045945946	C37H74N10O9	0.039339339	C36H74N12O8	0.014614615	C42H74N8O7
1000	C27H61N15O7	0.473232148	6	C27H61N15O7	0.465265265	C38H61N9O4	0.19049049	C34H69N5O8S	0.072172172	C23H57N21O5	0.072172172	C26H65N11O11	0.063663664	C31H65N9O9
2331	C21H42N2O10S	0.970502761	6	C21H42N2O10S	0.921321321	C25H42N2O5S2	0.070970971	C30H42O3S2	0.003603604	C17H40N8O6P2	0.001901902	C17H38N8O8S	5.01E-04	C23H39N4O7P
2330	C16H30N3O2P	0.917763792	5	C16H30N3O2P	0.874574575	C18H32O3P	0.125425425							
2327	C17H32O2	1	116	C17H32O2	1									
2326	C36H73NO11	0.870339755	11	C36H73NO11	0.965065065	C33H65N11O5	0.023623624	C39H74N3O3PS	0.005905906	C31H70N9O6P	0.003303303	C35H67N8O6	0.001001001	C40H75NO4P2
2324	C13H22O3	0.999994995	1	C13H22O3	0.9998999	C11H20N3O2	1.00E-04							
2323	C22H44N2O7	0.978884533	6	C22H44N2O7	0.978978979	C25H42N3O4	0.01041041	C23H40N6O3	0.005605606	C18H40N8O5	0.004804805	C20H42N5O6	2.00E-04	
2322	C15H32N6O	0.710420948	34	C19H36O3	1									
2321	C20H40O4	0.999981743	6	C20H40O4	1									
3652	C25H64N12O12	0.789146772	9	C25H64N12O12	0.730930931	C21H60N18O10	0.065465465	C39H70N2O6P2	0.055955956	C31H64N8O11	0.032432432	C30H65N10O8P	0.028328328	C39H68N2O8S
3653	C21H45N11O5	0.892356092	5	C21H45N11O5	0.891191191	C22H51N4O10	0.104104104	C23H48N8O4P	0.002002002	C20H49N7O9	0.001401401	C21H46N11O3P	7.01E-04	C20H50N7O7P
3655	C18H47B2N6Se	0.994725437	5	C18H47B2N6Se	0.994994995	C24H51N2Se	0.005005005							
3656	C19H39NO	0.999928501	0	C19H39NO	1									
3657	C33H72N6O10	0.372496302	5	C37H76O12	0.295595596	C33H72N6O10	0.261761762	C34H68N10O6	0.20970971	C29H68N12O8	0.057057057	C44H72O7	0.055955956	C37H72N6O5S
3671	C16H28O9	0.999777048	6	C16H28O9	1									
2342	C17H34N4O7	0.923855712	5	C17H34N4O7	0.92982983	C16H35N6O4P	0.058458458	C15H34N8O3S	0.008008008	C20H32N5O4	0.002802803	C15H32N7O6	5.01E-04	C18H30N8O3
1011	C29H55N5O4	0.937672757	5	C29H55N5O4	0.935635636	C25H51N11O2	0.031431431	C24H55N7O6	0.03043043	C20H51N13O4	9.01E-04	C27H53N8O3	5.01E-04	C34H55N3O2
1010	C22H26O6	0.653225339	5	C22H26O6	0.870870871	C17H26N2O8	0.113113113	C16H27N4O5P	0.012212212	C11H27N6O7P	0.001701702	C20H24N3O5	0.001501502	C18H29NO6P
2341	C14H41N14O5P	0.471650853	5	C14H41N14O5P	0.475575576	C14H40N14O7	0.263763764	C16H36N16O4	0.194994995	C20H40N10O6	0.04024024	C17H44N10O6S	0.008108108	C16H43N11O6P
2340	C15H30N6O2	0.999984459	5	C15H30N6O2	1									
